Record,loggingTime(txt),Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
146,2025-05-31T10:04:06.720,39.5356205,-122.3338543,99.6,0.01,0.000,-0.016,1.001,0,0.16,-0.09,0.03
147,2025-05-31T10:04:06.760,39.5356205,-122.3338543,99.6,0.05,0.000,-0.016,1.001,0,0.16,-0.08,0.03
148,2025-05-31T10:04:06.800,39.5356206,-122.3338544,99.6,0.09,0.000,-0.016,1.000,0,0.16,-0.07,0.03
149,2025-05-31T10:04:06.840,39.5356206,-122.3338543,99.6,0.08,0.000,-0.016,1.000,0,0.16,-0.08,0.03
150,2025-05-31T10:04:06.880,39.5356206,-122.3338544,99.6,0.14,-0.001,-0.016,1.000,0,0.16,-0.08,0.02
151,2025-05-31T10:04:06.920,39.5356206,-122.3338544,99.6,0.22,0.000,-0.016,1.000,0,0.15,-0.09,0.02
152,2025-05-31T10:04:06.960,39.5356206,-122.3338544,99.6,0.22,0.000,-0.016,1.000,0,0.15,-0.11,0.02
153,2025-05-31T10:04:07.000,39.5356206,-122.3338544,99.6,0.09,0.000,-0.016,1.000,0,0.15,-0.11,0.02
154,2025-05-31T10:04:07.040,39.5356206,-122.3338544,99.6,0.03,0.000,-0.016,1.000,0,0.15,-0.12,0.02
155,2025-05-31T10:04:07.080,39.5356206,-122.3338544,99.6,0.12,0.000,-0.016,1.001,0,0.15,-0.12,0.02
156,2025-05-31T10:04:07.120,39.5356207,-122.3338544,99.6,0.15,0.000,-0.016,1.001,0,0.15,-0.12,0.02
157,2025-05-31T10:04:07.160,39.5356207,-122.3338545,99.6,0.10,0.000,-0.016,1.001,0,0.15,-0.12,0.02
158,2025-05-31T10:04:07.200,39.5356207,-122.3338545,99.6,0.14,0.000,-0.016,1.000,0,0.15,-0.12,0.02
159,2025-05-31T10:04:07.240,39.5356207,-122.3338545,99.6,0.07,0.000,-0.016,1.000,0,0.15,-0.12,0.02
160,2025-05-31T10:04:07.280,39.5356207,-122.3338545,99.6,0.06,0.000,-0.016,1.000,0,0.16,-0.12,0.02
161,2025-05-31T10:04:07.320,39.5356207,-122.3338545,99.6,0.06,0.000,-0.016,1.000,0,0.16,-0.12,0.02
162,2025-05-31T10:04:07.360,39.5356207,-122.3338547,99.6,0.06,0.000,-0.016,1.000,0,0.15,-0.12,0.02
163,2025-05-31T10:04:07.400,39.5356208,-122.3338547,99.6,0.07,0.000,-0.016,1.000,0,0.15,-0.12,0.02
164,2025-05-31T10:04:07.440,39.5356208,-122.3338547,99.5,0.10,0.000,-0.016,1.000,0,0.15,-0.12,0.02
165,2025-05-31T10:04:07.480,39.5356209,-122.3338547,99.5,0.14,0.000,-0.016,1.000,0,0.15,-0.11,0.02
166,2025-05-31T10:04:07.520,39.5356209,-122.3338547,99.5,0.12,0.000,-0.016,1.000,0,0.16,-0.10,0.02
167,2025-05-31T10:04:07.560,39.5356209,-122.3338547,99.5,0.09,0.000,-0.016,1.000,0,0.16,-0.09,0.02
